Component,-moz-osx-font-smoothing,-ms-overflow-style,-webkit-align-items,-webkit-appearance,-webkit-flex-direction,-webkit-font-smoothing,-webkit-justify-content,-webkit-media-controls,-webkit-media-controls-panel,-webkit-media-controls-play-button,-webkit-media-controls-start-playback-button,-webkit-transform,align-content,align-items,align-self,animation,appearance,aspect-ratio,backdrop-filter,backface-visibility,background,background-color,background-position,background-repeat,background-size,border,border-bottom,border-color,border-radius,border-style,border-width,bottom,box-shadow,box-sizing,clip,color,container-type,content,cursor,display,filter,flex,flex-direction,flex-flow,flex-grow,flex-shrink,flex-wrap,font-family,font-size,font-style,font-weight,gap,grid-area,grid-auto-flow,grid-auto-rows,grid-column,grid-row,grid-template-areas,grid-template-columns,grid-template-rows,height,isolation,justify-content,left,line-height,list-style,margin,margin-bottom,margin-right,margin-top,max-height,max-width,min-height,min-width,mix-blend-mode,object-fit,opacity,outline,outline-offset,overflow,overflow-x,overflow-y,padding,padding-block,padding-bottom,padding-inline,padding-left,padding-right,padding-top,pointer-events,position,resize,right,scrollbar-width,text-align,text-decoration,text-transform,top,transform,transition,transition-delay,transition-duration,transition-property,transition-timing-function,user-select,vertical-align,visibility,white-space,width,will-change,word-wrap,z-index
FooterTitle,,,,,,,,,,,,,,.footer-title-root: flex-start,,,,,,,,,,,,,,,,,,,,,,.footer-title-root: var(--fg-text-primary),,,,.footer-title-root: flex | .title-line: block,,,.footer-title-root: column,,,,,,.footer-title-root: var(--fs-large-clamped),,.footer-title-root: var(--fw-semibold),,,,,,,,,,,,.footer-title-root: flex-end,,.title-line: 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.footer-title-root: start,,.footer-title-root: capitalize,,,,,,,,,,,,,,,
Fresha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.dialog-root-scroll-wrapper: auto,,,,,,,.dialog-root-scroll-wrapper: 124px,,,,,.dialog-root-scroll-wrapper: none,,,,,,,,,,,,,,,.dialog-root-scroll-wrapper: 100%,,,
GemButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.gem-button: 1.25rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.gem-button: 0.75rem 1.5rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.grid-container: var(--grid-desktop-columns),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GridItem,,,,,,,,,,,,,,,,,,.square-cell: 1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.grid-item: 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.grid-item: 100%,,,
GridLayout,,,,,,,,,,,,,,,,,,.grid-item[data-grid-size='2-2']: 1 / 1,,,,,,,,,,,.grid-item: var(--bdr-radius-small),,,,,,,,,,,,,,,,,,,,,,,,,,,.grid-item.desktop-spans: span var(--grid-cols),.grid-item.desktop-spans: span var(--grid-rows),,".grid: repeat(var(--columns), 1fr)",,,,,,,,,,,,,,,,,,,,,.grid-item: hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header,,,,,,,,,,,,,,.dialog-header: center,,,,,,,,,,,,,,,,,,,,,,,,,,.dialog-header: flex,,,,,,,,,,,,,,,,,,,,,,,.dialog-header: flex-end,.dialog-header: 0,,,,,,,,,,,,,,,,,,,,,.dialog-header: var(--spc-200),,.dialog-header: var(--spc-1000),.dialog-header: var(--spc-200),.dialog-header: var(--spc-200),,.dialog-header: absolute,,,,,,,.dialog-header: 0,,,,,,,,,,,.dialog-header: 100%,,,
Icon,,,,,,,,,,,,,,.icon-missing: center,,,,,,,.icon-missing: #f3f4f6,,,,,.icon-missing: 1px dashed #d1d5db,,,.icon-missing: 4px,,,,,,,.icon-missing: #6b7280,,,,.icon: inline-block | .icon-missing: inline-flex,,,,,,.icon: 0,,,.icon-missing: 10px,,.icon-missing: bold,,,,,,,,,,,,.icon-missing: center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.icon: middle,,,,,,
IconButton,,,,,,,,,,,,,,,,.btn :global(.loading-icon): spin 1s linear infinite,,,,,,.inverse: var(--bg-primary) | .primary: var(--bg-page),,,,.btn: none,,,.btn: var(--bdr-radius-small),,,,.inverse: inset 0 0px 0px 1px var(--bg-primary) | .primary: inset 0 0px 0px 1px var(--bg-inverse),,,,,,.btn:disabled: not-allowed,,,,,,,,,,,,.btn: var(--fw-semibold),,,,,,,,,,.btn: 44px,,,,,,,,,,,,,,,,.btn:disabled: 0.6,,,,,,,,,,,,,,,,,,,,,,.inverse:hover: scale(1.05) | .inverse:hover :global(.icon): scale(1.2) | .inverse:active: scale(0.95) | .primary:hover: scale(1.05) | .primary:hover :global(.icon): scale(1.2) | .primary:active: scale(0.95) | from: rotate(0deg) | to: rotate(360deg) | .btn:disabled:hover: none | .btn:disabled:hover :global(.icon): none,.btn: all 0.2s ease-in-out | .btn :global(.icon): transform 0.2s ease-in-out,.btn :global(.icon): 0.2ms,,,,,,,,.btn: 44px,,,
Image,,,,,,,,,,,,,,,,,,,,,,".image-container: rgba(
      255,
      192,
      203,
      0.1
    )",,,,".image-container: 1px solid rgba(255, 192, 203, 0.3)",,,.image-container img: var(--bdr-radius-medium),,,,,,,,,,,.image-container img: block,,,,,,,,,,,,,.image-container: var(--grid-area),,,,,,,,.image-container img: auto,,,,,,,,,,,,,,,.image-container img: cover,,,,.image-container: hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.image-container: 100% | .image-container img: 100%,,,
